,gene,log2FoldChange,pvalue,mean_NAFL,mean_NASH,t_statistic,padj
5867,ABR,0.6905572299926721,1.4242387304530356e-11,115.80392156862744,187.51063829787233,7.71329659534616,2.0911893816566143e-09
9365,ZNFX1,0.6015381610674311,1.4138314706972448e-11,303.70588235294116,461.3404255319149,7.66948957734333,2.0911893816566143e-09
12123,STK10,0.6803506373844406,1.4220657532127718e-11,152.66666666666666,245.25531914893617,7.676399184895584,2.0911893816566143e-09
2427,CAPRIN1,0.46050057288390117,1.535194866246993e-11,1015.9019607843137,1398.276595744681,7.717780164965544,2.1800873501290522e-09
14904,MXRA5,0.8049667662758196,1.541347351391754e-11,107.56862745098039,188.68085106382978,7.653730549239615,2.1800873501290522e-09
6123,USP22,0.4666296954939037,1.509030819106854e-11,1199.5098039215686,1657.9574468085107,7.759958120828647,2.1800873501290522e-09
9810,YWHAH,0.6082446491022321,1.5153543694342977e-11,301.078431372549,459.48936170212767,7.750880906332047,2.1800873501290522e-09
15272,LAMP2,0.4621842632094278,1.633776372377336e-11,2759.607843137255,3802.0851063829787,7.639655523026972,2.2898118484492177e-09
9390,ATP9A,0.6417451840880581,1.8403341249211626e-11,357.2156862745098,557.8936170212766,7.631638666045239,2.556074883235096e-09
4677,CYFIP1,0.5459892343776297,1.861445781922045e-11,626.4901960784314,915.1489361702128,7.614257804301625,2.5623133589189433e-09
2335,SWAP70,0.6233374380313824,1.951519447670644e-11,136.94117647058823,211.48936170212767,7.614500832292173,2.6625287897998513e-09
4735,THBS1,1.2121340664433307,2.0142698879674468e-11,155.1764705882353,360.82978723404256,7.968711485977494,2.7240349879643973e-09
1352,BTG2,0.8474550393285101,2.237585365198461e-11,90.09803921568627,162.91489361702128,7.96359519092177,2.9997263978491017e-09
3412,KRT8,0.6736382236889874,2.2807114869978706e-11,2694.4117647058824,4298.425531914893,7.570753418523175,3.0311835340557047e-09
9333,PIGT,0.4090990667328673,2.3316000211894952e-11,572.7450980392157,760.8510638297872,7.5706760173920635,3.0723314125366194e-09
1110,NCSTN,0.3719849707897252,2.3549744006258972e-11,657.8823529411765,851.6808510638298,7.638507634297766,3.0768339266482587e-09
10066,FBLN2,1.0007906060966487,2.3827281652455026e-11,60.64705882352941,122.36170212765957,7.942074330004338,3.08693446416722e-09
15370,FLNA,0.9337404165657434,2.4243428586614363e-11,513.6666666666666,982.1276595744681,7.816966609265346,3.11467448766528e-09
5353,PARN,0.426807819622769,2.589995790502876e-11,209.09803921568627,281.4255319148936,7.5591967769770365,3.2999971158828795e-09
5529,ITGAM,0.8728289653566265,2.6337996788549743e-11,48.90196078431372,90.38297872340425,7.586585186270879,3.3102398675717972e-09
